iter	Passed	Remaining
0	2	2681
1	13	6804
2	15	5292
3	17	4404
4	19	3847
5	23	3830
6	30	4286
7	32	4049
8	34	3772
9	37	3679
10	40	3659
11	42	3477
12	44	3350
13	47	3317
14	50	3320
15	52	3223
16	54	3177
17	56	3103
18	61	3165
19	62	3085
20	67	3138
21	70	3155
22	73	3109
23	74	3046
24	76	2978
25	78	2948
26	81	2928
27	83	2909
28	85	2862
29	87	2822
30	89	2789
31	90	2743
32	92	2699
33	93	2658
34	97	2692
35	100	2695
36	102	2662
37	104	2647
38	106	2615
39	107	2581
40	110	2583
41	112	2564
42	114	2542
43	115	2513
44	118	2510
45	119	2482
46	121	2456
47	122	2430
48	125	2430
49	126	2409
50	128	2389
51	129	2365
52	131	2346
53	133	2332
54	134	2310
55	135	2287
56	136	2264
57	139	2258
58	141	2256
59	142	2240
60	144	2223
61	146	2221
62	148	2205
63	149	2189
64	151	2174
65	152	2164
66	154	2150
67	156	2141
68	157	2129
69	159	2112
70	160	2098
71	161	2084
72	163	2071
73	164	2060
74	166	2053
75	168	2043
76	169	2036
77	171	2026
78	174	2033
79	177	2042
80	179	2038
81	181	2032
82	183	2022
83	185	2017
84	186	2008
85	189	2014
86	191	2009
87	193	2010
88	196	2007
89	197	2001
90	199	1993
91	202	1995
92	203	1986
93	206	1989
94	208	1983
95	210	1983
96	212	1977
97	213	1967
98	215	1958
99	217	1956
100	219	1956
101	221	1947
102	222	1940
103	224	1937
104	226	1931
105	227	1922
106	229	1913
107	230	1905
108	233	1904
109	236	1915
110	238	1907
111	239	1898
112	240	1890
113	242	1882
114	244	1881
115	246	1879
116	247	1870
117	249	1862
118	250	1857
119	252	1852
120	254	1848
121	255	1839
122	257	1832
123	258	1824
124	260	1824
125	262	1821
126	263	1814
127	265	1810
128	267	1806
129	269	1800
130	270	1794
131	271	1787
132	274	1787
133	275	1782
134	278	1784
135	280	1779
136	281	1775
137	283	1769
138	284	1763
139	286	1757
140	287	1751
141	289	1748
142	292	1750
143	293	1744
144	295	1739
145	296	1737
146	298	1730
147	300	1727
148	301	1724
149	304	1724
150	306	1721
151	307	1715
152	309	1713
153	311	1710
154	312	1705
155	314	1701
156	317	1703
157	319	1703
158	321	1699
159	322	1694
160	323	1686
161	324	1680
162	326	1677
163	329	1678
164	332	1681
165	333	1677
166	336	1678
167	337	1673
168	339	1668
169	340	1664
170	342	1660
171	349	1681
172	353	1688
173	354	1684
174	356	1679
175	357	1674
176	360	1677
177	362	1675
178	364	1671
179	366	1671
180	369	1670
181	370	1666
182	372	1661
183	373	1657
184	379	1671
185	383	1677
186	384	1672
187	386	1667
188	389	1671
189	395	1685
190	397	1682
191	398	1677
192	401	1677
193	402	1672
194	403	1667
195	407	1672
196	409	1671
197	411	1667
198	413	1662
199	414	1657
200	415	1652
201	418	1652
202	422	1658
203	424	1655
204	425	1650
205	426	1645
206	428	1641
207	430	1639
208	432	1635
209	433	1630
210	437	1637
211	439	1633
212	440	1629
213	442	1624
214	443	1619
215	446	1618
216	447	1613
217	448	1608
218	452	1614
219	454	1610
220	455	1606
221	457	1601
222	458	1598
223	460	1595
224	461	1590
225	463	1586
226	467	1592
227	469	1588
228	470	1583
229	471	1579
230	474	1578
231	475	1574
232	476	1569
233	477	1564
234	482	1569
235	483	1565
236	485	1561
237	486	1557
238	488	1553
239	489	1550
240	490	1546
241	492	1542
242	496	1546
243	497	1542
244	499	1538
245	500	1534
246	503	1534
247	504	1530
248	505	1525
249	507	1521
250	511	1525
251	512	1521
252	514	1517
253	515	1513
254	516	1509
255	519	1508
256	520	1504
257	521	1500
258	524	1501
259	526	1499
260	528	1495
261	529	1491
262	530	1487
263	533	1487
264	534	1482
265	535	1478
266	538	1478
267	541	1478
268	542	1474
269	543	1470
270	545	1468
271	548	1467
272	549	1463
273	550	1458
274	553	1459
275	555	1457
